id,date,desc,value
2195,Wed Nov 10 19:26:13 2021,Relative Humidity (%),53
2197,Wed Nov 10 19:26:13 2021,Relative Humidity (%),24
2201,Wed Nov 10 19:26:13 2021,Relative Humidity (%),53
2203,Wed Nov 10 19:26:13 2021,Relative Humidity (%),24
2207,Wed Nov 10 19:26:13 2021,Relative Humidity (%),53
2209,Wed Nov 10 19:26:13 2021,Relative Humidity (%),24
2213,Wed Nov 10 19:26:13 2021,Relative Humidity (%),53
2215,Tue Nov 30 22:48:55 2021,Relative Humidity (%),19
2219,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2221,Tue Nov 30 22:48:55 2021,Relative Humidity (%),19
2225,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2227,Tue Nov 30 22:48:55 2021,Relative Humidity (%),19
2231,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2233,Tue Nov 30 22:48:55 2021,Relative Humidity (%),19
2237,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2239,Tue Nov 30 22:48:55 2021,Relative Humidity (%),19
2243,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2245,Tue Nov 30 22:48:55 2021,Relative Humidity (%),19
2249,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2251,Tue Nov 30 22:48:55 2021,Relative Humidity (%),19
2255,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2257,Tue Nov 30 22:48:55 2021,Relative Humidity (%),19
2261,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2263,Tue Nov 30 22:48:55 2021,Relative Humidity (%),19
2267,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2269,Tue Nov 30 22:48:55 2021,Relative Humidity (%),19
2273,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2275,Tue Nov 30 22:48:55 2021,Relative Humidity (%),19
2279,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2281,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2285,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2287,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2291,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2293,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2297,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2299,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2303,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2305,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2309,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2311,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2315,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2317,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2321,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2323,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2327,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2329,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2333,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2335,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2339,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2341,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2345,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2347,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2351,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2353,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2357,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2359,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2363,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2365,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2369,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2371,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2375,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2377,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2381,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2383,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2387,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2389,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
2393,Tue Nov 30 22:48:55 2021,Relative Humidity (%),53
2395,Tue Nov 30 22:48:55 2021,Relative Humidity (%),20
